id,label,PC1,PC2
FN059,2,-0.01845656590340418,-0.18528367721560368
FN060,2,-0.011734813474411437,-0.15277706603779737
FN061,2,-0.013710074416633564,-0.3024859083051838
FN062,2,0.0019640241067102105,-0.12486399464967936
FN063,2,-0.01640494493239767,-0.1862058217609609
FN064,2,-0.009017578543561553,-0.2006600768381655
FN065,2,-0.013687131934110825,-0.19320021025159279
FN066,2,-0.01104813404561223,-0.13713629562038937
FN067,2,-0.01655457350603164,-0.13353559128505565
FN068,2,-0.014305791309092415,-0.206695473154076
FN069,2,-0.010765107935736104,-0.16295298522551357
FN070,2,-0.013393470114371007,-0.17177530480590983
FN071,2,-0.018665982141726538,-0.10480128396521679
FN072,2,-0.013697379024509772,-0.12203392267028268
FN073,2,-0.03208201444805367,-0.22694074056996116
FN074,2,-0.009741266031490758,-0.10175075635696022
FN075,2,-0.03434155415947562,-0.09588618066909281
FN076,2,-0.02910791703816252,-0.12644098081970004
FN077,2,-0.019388311000853947,-0.09715818608600497
FN078,2,-0.013080402429951843,-0.16342175379713747
FN079,2,-0.012036690319198346,-0.16745636119185595
FN080,2,-0.0023878085430671272,-0.16868529906064128
FN081,2,-0.041955696130874076,-0.10603920740616715
FN082,2,-0.04305544430935149,-0.13201196997447348
FN083,2,-0.021911509663341173,-0.14337151278497953
FN084,2,-0.011464255049828178,-0.17592814238008558
FN085,2,-0.014553534963361672,-0.15643711604678415
FN086,2,-0.0077642700078705456,-0.17894737144229383
FN087,2,-0.03056929378194541,-0.1509939875028513
FN088,2,-0.01721016217582974,-0.17297561451921073
FN089,2,-0.05750390684238768,-0.08947897685569503
FN090,2,-0.01703197928622688,-0.15714492937078517
FN091,2,-0.032049965247447715,-0.16050270570844233
FN092,2,-0.016393606295597954,-0.15154232892406377
FN093,2,-0.027478235646845456,-0.24643120977786598
FN094,2,-0.018198191242165127,-0.2586832020262976
FN095,2,-0.012601979811616605,-0.2464371257000813
FN096,2,-0.02657919999273183,-0.19321713328859322
FN097,2,-0.0245749490683404,-0.2028152248404609
FN098,2,-0.017005829212952437,-0.25453081770675107
FN099,2,-0.01330416193973869,-0.1593042440846041
FN100,2,-0.015320025905513348,-0.1620880576849971
